e,name,sum,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122
1669,Panorama,235,2,4,0,-1,2,0,0,2,0,-3,9,9,-3,-1,-1,-3,-1,-2,1,0,-3,4,4,2,1,-1,1,0,3,-1,1,1,3,4,-2,0,0,3,4,4,9,0,2,0,4,1,4,3,4,0,-2,-3,1,1,1,2,1,4,4,-3,0,-3,3,-1,9,9,3,0,0,1,1,1,4,2,4,-2,1,0,0,4,1,9,9,1,9,1,1,4,-3,-3,0,1,9,-2,-1,0,4,2,9,4,3,1,-1,0,-2,9,9,9,2,4,4,-3,0,-1,1,9,1,0,4,9,9,2
1670,Look,300,1,9,0,-2,4,1,0,9,4,1,9,9,1,-3,-1,3,1,4,9,9,1,0,-3,1,4,1,1,4,-3,4,-2,-1,1,0,9,3,4,9,1,9,4,1,3,2,1,1,4,9,0,1,3,1,-1,9,1,3,-2,9,1,4,2,4,1,0,9,9,-2,9,-2,9,1,1,1,0,1,1,9,3,3,-2,0,1,3,2,-1,-1,0,3,1,-1,4,3,4,4,2,0,0,4,1,4,1,2,4,0,-2,9,1,3,9,9,3,9,2,1,-3,0,0,-1,1,0,-1,-2
1671,Dizzy,291,1,1,0,9,0,1,9,4,-1,2,3,-3,9,4,-3,9,9,2,4,1,2,-1,9,3,1,9,1,1,0,0,4,1,2,1,4,9,0,1,4,1,-2,9,1,1,0,1,-2,-2,9,4,0,0,2,9,4,3,-1,3,9,-1,4,-2,-1,1,4,1,1,9,-3,-3,-3,2,1,-1,3,0,0,0,0,2,0,3,0,-1,3,4,-3,0,9,9,1,1,1,9,1,4,4,4,9,1,1,2,-3,9,0,3,-2,0,4,9,0,4,9,3,-3,4,2,1,4,0,9,1
1672,Nieuwe Binnenweg,230,1,-2,2,-1,3,-2,0,0,2,-1,3,4,0,4,0,1,1,4,9,1,4,4,9,-1,4,1,3,0,1,2,2,-2,4,2,4,-3,0,2,-1,0,2,1,1,1,9,4,2,-2,-3,3,-1,0,9,1,-1,1,3,0,3,1,9,9,1,4,0,1,9,1,9,1,0,3,2,4,0,3,0,-2,4,-3,1,0,-3,1,-1,0,0,4,-3,1,2,0,1,9,9,0,4,1,0,3,0,9,-2,9,4,-3,3,0,1,0,0,4,4,1,4,1,-2,1,1,4,9,0
1673,Stadsbrouwerij De Pelgrim,198,-1,4,9,3,9,4,1,0,-3,-1,0,1,-2,0,-1,1,1,9,4,2,-1,2,1,1,3,-3,2,0,-2,1,4,-1,1,4,1,1,4,-3,1,2,9,0,-1,1,1,4,1,-3,3,9,3,1,9,0,0,9,1,3,-3,-2,1,-2,-1,1,1,2,3,0,-2,-1,4,-2,-2,-1,-3,4,2,1,2,9,9,-3,1,4,1,1,2,1,-3,1,0,4,0,0,9,4,0,-3,9,1,0,-2,9,1,1,1,1,1,0,9,0,9,1,-1,1,1,1,4,3,-1,1,1
1674,De Dubbelde Palmboom,221,0,1,0,3,4,3,1,1,4,0,1,1,0,1,2,2,4,4,0,1,1,4,1,9,3,9,3,0,0,9,9,9,-1,0,-1,0,1,9,-1,1,4,-3,-2,-3,4,-3,-1,3,-2,0,-1,1,2,0,0,1,4,4,1,1,4,2,-2,4,3,-1,0,1,4,1,3,1,-3,2,3,-1,0,4,9,-3,0,-1,2,4,0,1,-1,9,-3,1,4,9,1,0,9,-2,4,1,0,-2,1,4,9,1,-3,9,4,1,0,2,-1,4,1,1,1,4,1,9,-3,1,0,0
1675,Oude Kerk,210,4,-3,-3,0,0,4,0,-1,2,-1,1,-3,9,3,4,2,4,0,1,9,4,9,-3,3,-3,4,9,1,3,-1,-2,4,3,0,4,2,-1,2,0,2,-3,1,1,0,-1,3,2,-1,0,0,-1,-1,1,3,1,-1,-2,9,0,1,4,0,0,1,0,1,-1,9,2,1,3,4,9,3,-3,2,9,4,1,-2,0,1,9,1,-1,2,2,4,2,9,3,0,1,4,1,0,4,3,2,1,9,4,9,3,2,0,-1,1,4,0,1,1,0,-3,1,-1,-2,-1,2,-2,0,4
1678,Vlaanderen,236,9,1,9,-1,1,4,1,3,9,1,4,3,-1,-1,1,1,-1,-3,-3,-3,9,9,4,-1,9,1,2,9,0,9,9,1,-2,0,0,0,4,1,1,0,4,0,1,1,-1,2,4,-1,-1,1,0,0,0,1,-3,1,4,-2,1,3,2,2,1,4,9,2,0,0,-1,-3,1,4,1,1,1,1,1,9,1,1,0,9,1,4,4,9,2,4,1,2,2,1,2,3,2,0,3,9,0,4,0,-2,0,4,2,-3,4,1,4,1,1,0,1,1,-3,1,1,4,-3,9,2,-2
1680,Legermuseum,222,9,1,1,-1,-1,1,3,1,1,4,1,9,1,-1,0,-2,2,0,0,-1,0,4,3,-2,2,-3,2,1,9,-3,0,0,0,4,1,2,4,4,4,9,0,0,-1,1,-3,1,0,1,4,4,9,9,9,3,-2,1,-1,2,9,0,0,-1,-3,-2,1,2,0,1,0,1,9,1,0,-2,4,1,1,4,3,9,-3,1,2,9,-2,-1,-2,0,1,3,4,-2,0,2,-2,9,0,0,1,-3,9,1,2,-1,1,1,1,9,4,-3,0,9,9,1,9,-2,4,-3,-2,9,0,3
1681,Locus Publicus,270,4,9,4,0,1,0,9,-2,-3,-3,9,4,1,3,1,9,0,-3,3,-2,-2,9,1,3,1,2,1,-1,9,1,3,2,9,9,-3,9,1,-3,1,-2,1,-3,2,2,-1,9,1,2,-2,1,1,4,3,1,2,-2,0,-1,1,4,3,1,-3,4,0,3,1,9,-3,0,9,2,-2,-2,-1,9,9,-2,9,1,4,-2,9,4,9,1,2,-2,4,4,0,3,-3,3,3,4,0,1,9,3,3,3,1,-2,1,1,1,-2,-1,-2,9,4,0,3,9,9,9,4,1,-1,1,-3
1682,Nieuwe Kerk,332,2,1,0,9,9,3,9,2,1,1,9,4,4,1,-2,1,-3,-3,9,9,9,1,1,1,3,9,9,4,3,4,1,1,0,0,9,3,-1,-2,-3,1,0,9,0,-3,-3,4,1,0,-2,3,-3,-1,2,0,9,9,2,9,1,4,-2,1,3,9,1,-3,1,9,4,3,3,9,-3,9,-2,3,1,9,0,-3,0,1,2,1,0,4,4,4,1,0,0,4,-2,9,9,0,0,2,0,3,3,9,9,-1,3,2,1,1,4,4,-1,3,1,0,9,9,4,4,0,9,1,4
1683,de Candelaer,260,3,3,9,2,1,1,-2,1,9,4,1,1,1,0,0,4,1,0,9,1,4,-1,9,1,4,1,4,-1,-2,0,9,-1,1,-3,9,1,9,4,9,1,-2,9,-2,1,0,3,4,-2,-2,9,3,2,3,-2,1,0,-1,-3,0,1,1,1,3,9,4,-2,1,9,-2,-2,1,1,1,9,-1,9,-3,-2,0,9,2,1,1,4,4,1,-1,-1,1,9,2,-2,1,0,9,4,-2,-2,1,9,4,1,9,9,0,-1,4,1,1,4,2,1,1,-3,4,1,-1,0,4,-3,2,4
1685,Town Hall,177,-2,0,1,0,4,1,9,1,1,4,3,1,-1,4,-2,0,0,1,9,4,0,-2,2,1,1,4,-3,2,0,1,0,1,2,4,0,4,0,4,1,1,-2,-1,-1,1,0,-1,4,3,3,4,0,1,3,0,-2,3,1,0,1,1,0,2,3,0,9,0,4,-1,-3,4,0,1,0,1,1,-2,0,-3,2,9,2,9,-2,4,0,4,4,-3,1,1,3,-1,4,0,3,-3,1,4,-2,9,4,1,0,-3,3,4,3,2,2,9,-3,1,0,1,-2,-2,0,-2,1,4,9,1
1686,OJV de Koornbeurs,160,1,1,-2,0,-3,-2,0,-2,4,4,1,9,4,-2,3,4,0,1,9,3,1,1,0,3,-2,9,9,4,-1,1,0,4,1,2,2,4,-1,1,1,-3,3,1,1,1,-2,4,-1,1,1,2,2,1,2,9,0,2,4,-3,2,-2,2,1,0,-2,0,9,0,0,-3,1,0,4,1,9,1,-2,4,2,1,3,0,0,0,-3,-1,9,-3,0,0,-2,0,-2,2,4,2,1,1,-1,0,0,0,0,1,1,0,4,9,4,1,9,-3,1,0,-1,0,-3,1,3,1,1,-3,-1
1687,De Zeven Zonden,232,1,-3,-2,-2,3,1,9,0,3,9,1,-1,1,-2,0,2,2,1,4,1,0,4,3,9,3,1,0,0,-3,4,-1,0,2,-2,9,9,-2,9,-2,1,9,3,1,-3,9,-2,1,1,-3,3,1,3,4,4,0,2,0,9,0,0,-2,9,1,0,-2,0,-3,1,-1,1,1,4,2,9,4,4,1,2,-3,3,-1,-3,3,3,9,4,4,4,1,9,9,0,2,4,0,4,9,3,0,-3,0,-2,-3,9,0,4,2,1,-3,2,0,0,4,0,1,1,3,-1,3,1,1,3
1688,Boekhandel Huyser,275,-3,4,-3,0,1,1,4,1,1,0,4,-2,3,9,1,-3,-3,9,0,0,1,4,9,-2,3,-1,4,1,-1,0,4,0,9,9,9,9,9,1,9,-3,2,1,2,4,2,9,-3,0,9,9,0,-3,2,9,-3,1,-1,9,1,-2,0,1,-2,1,1,9,1,1,9,-1,1,0,9,-3,2,0,0,9,1,0,-3,1,9,2,-3,1,2,1,1,1,-1,2,4,1,-3,1,9,9,9,-1,4,0,4,1,4,0,-1,-3,0,9,0,4,1,9,0,4,4,2,9,-3,0,0
1689,Stadys Koffyhuis,311,9,1,0,4,0,2,-3,4,2,9,2,1,4,4,1,4,-3,-2,3,0,4,1,1,-1,2,9,9,9,1,9,0,0,1,-2,1,2,4,-3,1,-2,-2,9,4,9,1,2,4,4,0,9,9,9,9,2,1,4,2,3,0,4,1,9,1,1,3,9,0,-3,4,3,4,1,1,-2,1,1,4,9,-1,-3,-1,-2,1,0,-1,1,4,9,4,2,9,1,-1,4,-1,9,1,1,-2,0,0,4,9,0,9,1,1,1,1,1,0,2,9,-3,9,2,1,3,0,4,1,4
1690,Artusi,254,4,9,4,4,1,-2,-3,-2,-1,4,4,3,1,-2,-1,0,4,0,0,-2,-1,0,1,-1,9,9,0,-3,-1,0,9,-2,1,-1,1,1,0,1,4,1,9,0,4,-3,9,3,1,-3,3,9,-3,0,9,9,3,1,0,9,-1,3,0,-2,3,1,-3,9,1,3,0,-2,0,2,1,-1,0,1,2,2,1,-3,2,0,9,-1,1,1,0,9,2,4,-2,1,2,9,0,9,9,-1,3,1,1,2,9,1,9,0,3,0,4,9,1,2,9,0,4,1,0,-1,4,-2,9,1
1691,Oude Kerk,268,-2,0,-1,1,9,0,9,0,1,-1,4,9,2,1,4,-2,1,9,1,-2,-3,9,9,4,-2,1,1,3,-1,2,0,1,4,-3,-1,4,1,4,3,0,9,1,1,4,2,1,0,9,1,1,1,-1,1,1,4,0,2,4,-2,3,1,1,1,2,-2,9,9,0,0,9,-3,-1,0,1,1,3,1,4,9,4,3,1,0,3,9,9,1,4,1,9,-3,-2,0,1,0,-2,4,4,3,-2,9,3,9,-3,4,-3,4,4,0,3,9,1,0,0,0,1,4,0,0,9,2,-1
1692,Municipal Museum het Prinsenhof,167,9,9,1,2,-2,2,0,1,2,1,4,-1,-2,-3,3,-1,3,1,1,-1,1,9,1,1,2,0,-2,0,4,-2,4,0,4,4,-1,9,4,-1,2,4,3,-1,9,0,0,1,2,-3,-2,0,1,0,-3,0,-3,1,4,-1,3,1,1,-2,-1,-3,9,-1,0,4,1,1,2,-2,0,1,3,4,1,9,-1,1,3,4,9,0,-2,-3,1,0,4,1,1,9,0,-3,-1,2,-2,1,1,1,1,2,-1,9,3,3,1,1,-2,4,4,1,1,9,-2,-3,4,1,-3,-2,-1,0
1693,De Delftse Pauw,237,0,-1,-3,-3,0,1,1,0,2,0,-1,-1,1,0,3,2,4,1,-2,9,-1,9,-2,-2,-1,4,1,2,1,-1,3,1,4,3,1,0,1,-1,-2,1,2,1,1,-2,1,4,3,4,9,9,-1,9,0,9,9,-1,1,1,1,1,2,1,4,9,4,-1,9,0,-2,4,3,1,-2,9,0,4,1,4,1,3,4,2,4,4,-3,1,1,1,0,9,-2,9,1,1,-3,-2,1,1,9,4,9,1,0,3,1,3,1,4,-2,-2,0,1,9,-1,4,2,3,9,1,1,1,-2
1694,OKA,219,-2,1,-3,-1,-1,4,1,4,1,9,1,1,1,9,4,1,1,1,1,1,2,0,3,-2,3,0,0,1,9,4,1,1,2,4,-2,-2,9,1,3,1,9,1,1,-1,-3,-3,0,-3,-3,1,0,0,0,-2,-1,9,-1,-2,1,2,2,0,2,0,0,1,1,0,0,3,1,1,0,2,9,-2,2,9,1,9,9,9,1,4,1,0,1,1,1,-1,1,0,3,4,1,4,2,-1,4,2,4,1,4,9,1,-2,4,1,3,1,1,1,4,4,9,-1,3,9,0,-3,0,2
1695,Dr Anton Philipszaal,220,1,-1,4,4,0,9,-2,-1,2,4,0,-3,2,4,1,4,1,0,1,0,2,9,1,1,9,2,4,9,1,-3,-1,-2,2,4,4,1,0,3,1,-1,4,-1,0,0,9,1,9,-3,2,9,-2,-3,1,4,1,4,3,1,0,4,2,1,4,4,-1,-1,9,1,-3,-3,4,2,9,3,9,4,2,4,3,2,9,4,9,1,0,1,-2,-2,-1,-2,1,1,2,-3,3,-1,-1,0,9,0,4,0,1,-2,1,3,-2,-2,0,2,0,-1,1,1,4,1,0,1,4,0,1,1
1696,Nederlands Dans Theater,268,0,9,1,1,9,3,3,1,4,1,-2,-3,4,4,2,-2,9,-3,1,3,-3,1,-2,0,-1,-2,9,1,2,0,4,-2,4,4,0,2,0,0,4,1,4,4,4,1,1,2,0,9,4,9,4,3,9,4,-2,-1,9,3,9,9,1,4,0,-1,-3,1,4,1,1,4,1,-1,3,-3,3,-3,3,-1,-3,3,2,1,9,2,1,4,4,9,0,1,4,0,0,-2,9,3,0,1,9,2,1,3,-2,1,-1,-1,9,9,2,1,-2,-3,1,4,2,0,1,3,-2,-1,9,9
1697,Cinematheek Haags Filmhuis,227,9,0,9,9,1,0,1,9,4,1,4,0,0,0,9,4,1,1,1,4,-3,9,1,0,0,-2,2,1,4,1,-3,-2,0,-2,2,1,1,9,3,-1,1,-3,4,0,-3,-2,9,4,1,1,0,1,3,-3,9,9,1,9,4,0,-2,0,1,3,1,4,1,-3,9,3,0,1,3,-3,1,1,1,4,0,-1,-3,1,2,1,4,1,1,3,-1,-3,-2,1,4,4,2,2,4,9,-3,4,-1,-1,-2,9,-2,-3,9,3,2,9,1,0,-3,3,0,2,3,1,4,2,2,1
1698,De Sax,246,1,-2,-2,4,0,1,9,1,1,0,0,9,2,9,4,1,4,0,9,1,-3,-3,4,-2,9,-1,3,2,-3,9,-3,9,0,0,4,4,1,4,1,0,0,9,1,9,1,3,-1,9,-1,9,3,1,-1,0,3,9,3,1,-1,0,1,4,-2,2,3,0,2,9,-3,4,-3,1,1,3,-3,1,9,-3,0,-1,1,0,9,-2,0,0,1,0,3,1,0,1,1,4,9,2,0,-2,9,1,-3,1,-2,3,4,3,9,-1,4,1,1,-2,0,3,3,2,4,0,-3,0,9,3
1699,New Town Hall,202,0,4,1,-1,-2,4,4,-2,4,-2,1,4,9,1,2,-2,3,1,0,0,-2,2,-1,-2,9,0,0,9,1,4,0,-1,3,-2,4,0,-3,1,-2,3,2,0,2,0,4,1,-1,1,-2,-2,1,-2,4,0,-1,4,1,3,3,1,4,1,9,9,0,3,-3,4,0,1,-2,0,4,4,-3,1,1,-3,4,1,3,9,3,-2,1,-2,2,4,-2,1,-1,-1,0,2,4,1,2,2,1,9,-1,4,-1,2,1,4,9,4,9,2,3,-3,0,9,3,2,3,1,1,1,3,4
1700,Escher in het Paleis Museum,272,4,-2,1,-1,-1,1,3,4,2,4,-3,0,-3,1,-3,9,0,2,-2,4,3,4,-2,1,4,0,9,4,2,9,9,9,1,1,-2,1,9,1,4,1,9,-2,3,1,0,0,1,4,3,2,-3,4,9,1,1,-3,9,9,-2,0,1,9,-1,-2,9,0,1,9,4,-2,3,-3,1,4,4,1,1,9,9,9,1,9,1,-2,0,2,9,9,-1,-2,1,1,1,1,9,-1,-3,0,2,0,0,0,4,3,1,1,9,-3,3,0,-2,1,1,1,-2,4,0,1,-2,9,2,4
1701,Mauritshuis,243,0,-3,4,-2,0,1,-2,1,-1,0,0,-1,9,9,1,-2,1,1,-2,-1,1,2,3,1,4,3,4,2,-2,1,0,9,1,-2,9,4,9,9,0,0,3,2,9,2,-3,1,1,0,0,1,9,1,1,0,3,4,0,2,1,1,9,9,0,4,3,-2,2,2,0,-1,0,1,-1,2,9,1,0,-3,9,0,-2,9,-3,1,4,4,-2,3,4,1,1,-1,4,3,1,9,1,-3,0,-3,2,1,1,-3,2,9,1,0,4,9,2,4,2,1,1,0,9,9,-1,-1,3,4
1702,Binnenhof,306,-2,1,1,9,9,-2,3,0,1,1,9,1,4,-3,1,0,3,9,1,2,-2,0,2,4,4,0,4,0,0,-3,-1,1,4,-1,-3,2,1,4,1,9,-1,4,-2,3,3,-1,3,3,2,4,-1,2,4,1,9,1,1,0,-2,9,-2,9,2,-2,4,1,3,4,-2,1,0,0,4,0,9,3,9,-2,1,0,-3,-1,1,1,4,9,9,9,1,4,1,9,3,9,4,4,9,4,9,1,2,9,4,4,1,9,1,9,4,-2,1,9,-2,0,3,1,4,-2,1,-1,-3,9
1703,Galerij Prins Willem V,309,0,-3,-2,4,9,9,1,-3,-2,0,9,9,-1,4,9,4,-1,9,4,1,4,9,-2,9,-1,0,2,3,-1,-3,9,1,4,9,4,1,0,1,0,1,3,0,3,4,-2,9,4,1,3,-3,-1,0,0,-3,9,1,4,0,1,2,9,1,9,9,4,0,1,0,9,-3,1,-3,9,4,1,4,3,4,0,-3,9,-3,1,9,-3,1,0,9,-1,4,9,4,4,1,-2,-2,1,1,1,9,3,0,-2,1,9,4,-2,1,0,3,9,-1,2,2,1,9,4,-2,3,9,-2,2
1704,Gevangenpoort,253,9,-3,-2,2,-2,4,0,0,9,1,1,1,-1,1,9,2,9,4,4,9,1,4,9,3,4,1,1,-2,0,-1,-2,0,-1,4,1,2,-2,4,-3,9,-3,9,4,9,-3,3,-3,3,-3,-1,1,-3,9,9,9,1,2,0,1,0,4,0,3,-2,3,0,9,-2,0,0,0,1,9,-1,9,9,0,1,1,4,0,-1,9,9,4,-1,0,0,3,-3,-1,1,-1,-2,2,1,1,9,1,4,1,1,9,0,-3,3,0,1,-1,9,-2,0,2,0,1,1,-1,1,1,4,1,9
1705,De Zwarte Ruiter,237,-3,1,-2,4,0,-2,4,9,4,4,1,-1,4,2,-1,0,-2,1,9,4,9,3,4,-2,-1,-2,9,-3,4,-2,-3,0,4,0,1,0,4,9,-1,0,-2,4,9,1,-1,-1,0,9,3,1,1,9,1,-1,1,-2,3,1,1,4,9,3,9,-3,-1,0,0,9,9,9,0,2,-1,-3,3,9,-2,0,9,-2,1,4,2,1,2,0,1,9,1,0,1,1,2,2,4,1,4,3,1,4,0,1,3,-1,3,-1,2,-3,0,3,-2,9,4,9,0,1,0,-2,1,-2,-1,0
1706,Van Stockum,242,9,1,1,9,3,0,3,0,9,9,1,-2,1,-3,2,2,-3,9,2,4,-3,0,-3,2,-3,1,4,9,1,9,3,-2,1,-2,4,9,4,4,1,2,3,-2,3,4,1,1,9,1,-1,1,4,4,-3,-3,4,1,-3,9,-3,3,0,9,1,3,1,1,-2,4,0,1,4,4,-3,-1,1,0,2,2,4,1,0,-3,0,-3,9,4,-2,9,1,1,4,1,1,2,2,1,0,3,4,4,-2,9,4,9,-3,-1,0,-3,9,1,3,0,2,1,1,2,4,-3,1,0,4,3
1707,Boterwaag,176,1,2,1,1,2,2,9,2,1,1,3,-3,0,-2,1,4,0,-3,4,3,-3,1,3,0,-1,3,-2,2,-1,9,1,-1,-2,-2,-3,9,3,0,3,3,0,2,-1,1,-1,4,3,0,-1,4,1,0,-3,1,2,9,1,-1,0,4,-1,3,0,2,-3,9,4,-1,3,0,-2,4,1,9,4,9,2,4,-2,0,3,2,-1,2,-1,2,0,-3,-3,4,9,2,-3,-3,1,1,9,1,-1,2,0,-3,3,3,3,3,1,1,-1,3,1,1,4,1,-3,4,1,1,-2,1,1,9
1709,Fiddler,201,3,0,0,-3,1,0,4,9,1,3,1,1,1,1,9,-1,1,-3,1,1,3,1,1,0,0,0,3,1,0,2,9,1,2,1,-2,2,9,2,-1,1,-2,1,3,4,4,0,-2,3,3,1,1,2,-2,1,0,1,-2,9,4,2,0,3,0,1,0,1,4,1,9,4,9,1,-3,0,4,1,4,-1,2,-1,-2,4,1,2,1,9,0,3,4,9,0,0,-3,0,9,1,2,0,2,0,2,4,0,1,1,3,3,1,-2,1,1,-1,2,-2,4,4,1,1,1,-1,-2,2
1710,Montmartre,246,0,1,4,-3,4,4,3,-3,2,4,4,0,-3,2,3,0,2,1,1,-2,9,-3,-1,1,0,9,0,9,9,-1,9,4,9,9,0,-1,3,-3,4,9,-1,9,-1,0,1,-3,0,4,0,1,-3,1,1,-2,-1,-3,9,1,-3,4,0,9,9,3,2,0,1,3,0,0,0,9,4,1,3,-2,1,1,9,0,1,-3,0,1,3,1,9,4,1,-2,4,9,0,-1,4,4,1,3,4,2,4,0,-2,1,9,-3,1,-1,0,1,9,-2,3,1,-1,3,1,4,2,0,1,4
1711,Grote Kerk,188,4,1,3,9,-3,-2,4,9,-2,0,2,4,0,4,2,-1,9,1,3,2,9,9,-3,4,1,-1,4,0,-2,1,-1,2,2,-2,-3,1,0,-2,-1,1,2,2,-3,0,0,0,9,0,1,4,3,1,1,4,-1,1,-1,-3,9,0,2,0,1,3,0,-1,1,1,1,3,3,-1,4,4,2,1,1,4,-3,4,2,1,1,0,0,4,9,3,0,1,-3,1,0,9,0,4,3,-2,1,0,2,1,1,9,0,-3,-1,3,9,1,4,2,-2,1,-1,-2,1,1,1,0,0,0
1712,Paard van Troje,244,1,4,2,0,9,1,-1,9,1,-1,4,-1,4,2,-3,2,-3,3,3,1,0,0,1,3,9,4,0,-2,-1,1,2,-1,0,-3,0,1,0,3,4,9,1,3,4,3,1,-2,-2,9,1,-2,1,-1,4,3,9,1,4,1,4,9,-3,4,1,-2,1,0,1,1,4,9,1,0,3,-3,0,-2,4,-1,1,-3,1,-3,2,9,9,0,1,9,3,0,9,1,1,1,2,2,-2,4,0,1,-3,9,-2,9,2,1,0,9,9,0,-2,9,2,1,4,-1,0,1,9,-2,4,1
1713,Paleis Noordeinde,170,9,1,0,1,1,9,1,-1,4,-1,2,0,1,0,9,0,-3,0,9,1,1,4,0,4,4,9,-1,1,9,3,0,4,-3,-3,0,1,-3,1,4,2,-3,1,1,0,3,1,0,-2,0,9,-2,-3,-2,-3,0,0,-1,3,-3,9,-2,1,4,9,0,0,-2,-2,1,0,2,0,4,1,0,1,4,4,4,1,1,-1,4,-1,0,0,1,-3,-2,-1,4,4,1,-1,0,0,9,0,0,1,-1,0,1,1,1,-1,9,2,0,2,9,1,2,4,0,1,0,0,0,3,-2,4
1714,PUCK,316,2,1,9,4,1,4,9,0,1,9,4,1,9,1,4,1,4,3,9,4,9,9,3,1,-3,-2,1,0,0,9,3,9,9,1,1,0,2,4,1,4,9,3,-1,-3,-1,1,-1,4,0,0,1,2,-2,3,0,1,9,4,9,0,4,-1,0,1,0,4,9,3,9,1,0,1,3,2,-3,1,0,1,-3,4,4,9,9,9,4,1,9,1,1,-3,0,-3,1,-1,1,-1,1,9,2,-3,-3,1,-2,9,4,0,3,1,9,-3,9,1,9,9,9,1,1,-2,-1,1,-2,-3
1715,It Rains Fishes,196,1,0,4,-2,3,-2,1,1,3,1,0,-3,0,9,1,4,1,-3,9,4,4,1,-2,1,9,1,1,1,9,-3,4,-3,0,-2,1,4,0,4,-3,-2,2,3,-2,0,9,1,4,-1,9,1,9,1,-3,0,-1,-1,4,-3,-1,1,0,-3,1,9,-3,4,0,9,-2,0,1,1,1,2,4,2,-1,1,0,9,-3,4,9,9,-3,2,-1,4,3,9,4,0,-2,1,3,-2,-3,0,1,3,0,2,1,9,1,-2,4,-3,1,0,4,4,1,2,2,1,1,4,-2,-1,4,1
1716,Panorama Mesdag,268,0,0,-2,4,-2,3,0,3,-3,1,0,-3,0,-2,9,-3,3,0,2,-3,0,0,4,-3,4,9,2,4,-1,-1,-1,1,4,1,0,0,-1,0,3,9,3,-1,2,-1,4,4,0,-2,9,3,1,4,1,9,0,4,9,0,0,-2,0,1,0,4,0,0,-1,-3,1,-3,9,9,0,1,9,3,-2,2,1,9,1,9,-2,4,3,-3,1,1,3,2,4,-3,1,4,2,9,1,0,0,1,1,9,0,0,4,9,9,0,-1,9,4,9,0,-1,9,9,3,9,9,9,1,1
1717,Madurodam,157,-3,3,9,2,-1,1,0,-2,9,1,3,1,-1,-1,-3,2,-1,2,9,-3,-1,0,-2,1,0,3,0,0,9,4,1,0,-1,2,2,-1,1,1,2,-2,-2,9,-3,0,1,1,4,4,0,-3,1,4,1,9,1,1,1,0,-1,-2,0,-3,4,9,4,-1,3,1,-3,-3,4,-2,1,3,1,9,0,0,-3,0,4,-2,0,3,1,1,-3,-2,-2,1,-2,9,1,-3,4,3,1,-2,0,9,2,0,0,-1,1,9,-3,0,2,-2,4,3,4,1,-3,1,-3,2,4,9,9,1
1718,Vredespaleis,280,-2,1,9,4,-2,-1,0,1,0,1,4,9,0,2,-3,0,0,-2,1,3,3,1,3,1,-2,9,0,1,4,9,0,9,4,0,2,4,4,9,1,9,1,2,3,1,4,2,4,0,1,2,9,1,0,0,9,-2,1,0,4,4,4,0,4,2,1,1,-1,1,4,2,-1,-3,4,2,9,4,1,-3,9,1,0,9,4,4,-2,1,9,0,1,0,9,0,1,3,1,1,-2,4,4,4,4,0,0,-2,1,0,4,-3,1,4,9,0,4,9,4,-3,-1,0,4,9,0,2
1719,Kurzaal Bar,233,3,4,1,9,-2,4,1,1,1,4,0,2,1,4,-1,3,0,1,-2,9,4,1,1,1,1,2,-1,1,1,0,0,4,3,-3,0,1,4,-3,-1,1,0,9,9,1,9,4,0,4,0,9,0,-2,-2,2,0,9,3,-3,1,4,-3,4,-2,0,4,-3,1,0,1,9,-2,0,1,2,-3,1,9,0,0,0,-1,0,1,4,2,0,9,-1,-3,0,4,0,0,9,-2,0,9,3,9,-3,-1,9,4,9,1,-3,4,4,-1,2,2,1,1,9,0,4,2,1,-1,9,1,0
1720,Topkapi Sense Restaurant,215,0,3,0,1,9,-3,-1,-2,-3,-2,9,9,4,4,1,9,9,-1,-1,1,4,3,0,0,-2,9,9,3,4,-2,1,-2,9,1,-1,4,1,2,-2,9,4,-3,4,1,-1,3,1,0,3,4,0,-2,3,0,3,4,-1,-3,-2,1,4,-2,-3,4,9,4,1,4,-1,1,4,0,-1,0,9,0,3,1,0,0,-2,0,0,1,-3,4,-1,-2,9,4,0,1,1,-2,-2,0,4,9,2,9,3,3,-1,2,1,9,1,-3,9,-3,0,1,0,1,-1,-3,-3,3,4,9,-1,0
1721,Gemeentemuseum,273,-2,3,0,9,1,1,1,4,1,9,-1,2,3,-1,1,4,-1,-1,1,3,1,0,-3,-1,-1,4,9,4,0,3,4,-2,-1,0,4,1,0,9,1,9,1,0,9,3,-2,-2,-1,-3,9,9,-1,1,9,1,2,9,-3,1,0,0,9,0,1,1,1,-3,0,3,9,1,1,-3,9,2,4,1,3,3,-1,0,1,0,9,1,2,9,1,0,-1,9,-1,3,-2,4,1,9,1,4,9,3,4,-3,4,0,4,-3,0,9,0,0,1,9,3,9,1,4,0,2,0,0,2,4
